id,character,dialogue,expression,,,,,
1,나,여긴… 어디지?,player03,,,,,
2,,머리가 깨질 듯이 아프다. 보이는 것이라곤 끝없이 펼쳐진 광활한 공간.,,,,,,
3,,"바닥에는 발목이 겨우 잠길 정도의 물이 고여있고, 어디선가 불어온 스산한 바람이 머리를 흐트러뜨린다.",,,,,,
4,???,이곳은 스틱스라고 한다.,god00,,,,,
5,,"등 뒤에서 들려온 목소리에 뒤를 돌아보자, 그곳에는 누군가가 서있다.",,,,,,
6,,"남성인지 여성인지. 아니, 사람이 맞기는 한지조차 의문스러운 외형.",,,,,,
7,나,스틱스?,player03,,,,,
8,???,이승과 저승을 나누며 흐르는 강물. 모든 사람이 언젠가 도달하는 곳이지.,god00,,,,,
9,,"그 두 문장 속에서, 나는 싸늘한 진실에 도달할 수 있었다.",,,,,,
10,나,"그렇단 건, 저는 죽은 겁니까?",player04,,,,,
11,???,그렇지 않다.,god00,,,,,
12,나,하지만 이곳에 왔다는 건….,player02,,,,,
13,???,"이곳은 어디까지나 경계. 산 사람의 땅도, 죽은 사람의 땅도 아니다. 엄밀히 이야기하자면 죽어가는 자들이 속해있는 곳이겠지.",god00,,,,,
14,,"그 말은 즉, 지금의 내가 죽어가고 있다는 뜻.",,,,,,
15,,"그러나 내 몸은 어딜 보아도 멀쩡하다. 심지어 지끈거리던 두통마저도 가라앉은채, 지금은 의식마저도 선명했다.",,,,,,
16,,"그 덕분인지, 지금의 상황에서 가장 중요한 것이 무엇인지도 금방 떠올랐다.",,,,,,
17,나,그럼 살아날 방법도 있는 겁니까?,player00,,,,,
18,???,방법이라면 있다.,god00,,,,,
19,나,무엇입니까?,player03,,,,,
20,???,이곳에서 내 심판을 받는 것이지.,god00,,,,,
21,나,심판?,player03,,,,,
22,???,"다시 살아갈 기회(AND)를 주는 것이 옳은 지, 혹은 영원한 안식(END)를 주는 것이 옳은 지. 그것을 판단하는 것이 나의 일이다.",god00,,,,,
23,,죽어가는 자들의 생사를 결정하는 심판관.,,,,,,
24,,나는 그제야 눈앞의 존재가 그런 초월적인 권능을 지닌 존재임을 깨달았다.,,,,,,
25,나,당신은 대체 누구십니까?,player03,,,,,
26,유스티티아,"내 이름은 유스티티아. 너희가 생각하는 심판의 잣대이자, 달리 말하면 정의가 곧 내 본질이다.",god00,,,,,
27,,자기소개를 마친 그의 손에는 어느새 법봉이 들려있었다.,,,,,,
28,유스티티아,"그럼, 이제 죄인의 심판을 시작하도록 하겠다.",god00,,,,,
29,유스티티아,죄인의 이름은?,god00,,,,,
30,나,이름?,player03,,,,,
31,,"모른다. 아무리 머릿속을 헤집어봐도 내 이름이 도저히 기억나질 않는다. 아니, 애초에 내가 누구였지?",,,,,,
32,유스티티아,나이는? 직업은? 사는 곳은?,god00,,,,,
33,나,…모르겠습니다.,player02,(CG),<CG00>,,,
34,,발 아래에 고인 물에 비친 내 모습을 바라본다.,,,,,,
35,,"하얀 가운, 덥수룩한 머리, 피로에 찌든 얼굴.",,,,,,
36,,"익숙한 모습이지만, 그 익숙함은 내가 누구인지로 연결되지 않는다.",,(CG),</CG00>,,,
37,유스티티아,흐음… 이래서야 심판을 계속 진행하기엔 무리가 있겠군.,god00,,,,,
38,나,예? 그럼 저는 어떻게 되는 겁니까?,player01,,,,,
39,유스티티아,"심판을 받아야할 죄인은 지금 이 시간에도 계속 쌓이고 있으니, 그대의 기억이 돌아올 때까지 기다려줄 여유는 없다. 그러니 일단 보류다.",god00,,,,,
40,나,보류라고요?,player01,,,,,
41,,이걸 좋아해야할지 말아야할지 모르겠는 상황.,,,,,,
42,,"그때 그의 로브 아래, 드리운 그림자 속에서 입꼬리가 올라가는 모습을 본듯한 기분이 들었다.",,,,,,
43,유스티티아,"좋아, 그럼 무작정 기다리고 있는 것도 무료할 테니. 그대에게도 업무를 나눠주마. 기억을 되찾는 데에 도움이 될 지도 모르고.",god00,,,,,
44,나,잠시만! 업무라면….,player01,,,,,
45,,과연 내가 그런 중요한 일에 관여해도 되는 것인지 따져 물으려던 때였다.,,,,,,
46,유스티티아,"아 참, 위를 조심하거라.",god00,,,,,
47,,"나는 그의 손끝이 향하는 위쪽을 바라보았고, 그곳에는….",,(CG),<CG01>,,,
48,,소녀가 떨어지고 있었다.,,(CG),</CG01>,,(CG),<CG02>
